month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
June,1764071,8763917,2019-06-02 18:09:00,6/2/2019 18:19,0:09:56,"66 4th St SW, Albuquerque, NM 87102, USA","320 Arno St NE, Albuquerque, NM 87102, USA",35893916,1634381
June,1764089,9256627,2019-06-02 18:09:00,6/6/2019 21:22,99:13:14,"2550 Central Ave NE, Albuquerque, NM 87106, USA",,37802276,1684745
June,1764090,8988687,2019-06-02 18:09:00,6/2/2019 18:27,0:17:34,"2nd @ Marquette, Albuquerque, NM 87102, USA","2nd @ Marquette, Albuquerque, NM 87102, USA",37977691,1634607
June,1764095,5701786,2019-06-02 18:10:00,6/2/2019 18:21,0:11:56,"2002 Central Ave SW, Albuquerque, NM 87104, USA","216 Gold Ave SW, Albuquerque, NM 87102, USA",37761291,1634469
June,1764105,4858160,2019-06-02 18:10:00,6/2/2019 18:40,0:30:21,"2002 Central Ave SW, Albuquerque, NM 87104, USA","2002 Central Ave SW, Albuquerque, NM 87104, USA",35627007,1634913
June,1764121,7821247,2019-06-02 18:11:00,6/2/2019 18:14,0:03:01,"2002 Central Ave SW, Albuquerque, NM 87104, USA","2002 Central Ave NW, Albuquerque, NM 87104, USA",37970812,1634283
June,1764142,9002327,2019-06-02 18:12:00,6/2/2019 18:17,0:05:14,"2424 Central Ave SW, Albuquerque, NM 87104, USA","2424 Central Ave SW, Albuquerque, NM 87104, USA",35566644,1634350
June,1764156,7460209,2019-06-02 18:12:00,6/2/2019 18:30,0:17:18,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","2400 Central Ave SE, Albuquerque, NM 87106, USA",37972338,1634682
June,1764166,4049935,2019-06-02 18:13:00,6/2/2019 18:30,0:17:18,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","2324 Central Ave SE, Albuquerque, NM 87106, USA",37700535,1634686
June,1764172,3691507,2019-06-02 18:13:00,6/2/2019 18:30,0:16:56,"330 Tijeras Ave NW, Albuquerque, NM 87102, USA","2400 Central Ave SE, Albuquerque, NM 87106, USA",37702181,1634687
June,1764196,8405475,2019-06-02 18:14:00,6/2/2019 18:20,0:05:49,"421 Gold Ave SW, Albuquerque, NM 87102, USA","610 Gold Ave SW, Albuquerque, NM 87102, USA",37826031,1634420
June,1764207,5913401,2019-06-02 18:14:00,6/2/2019 18:40,0:25:49,"2002 Central Ave NW, Albuquerque, NM 87104, USA","2002 Central Ave SW, Albuquerque, NM 87104, USA",37970812,1634914
June,1764239,5226176,2019-06-02 18:16:00,6/2/2019 19:14,0:58:34,"1216 Lomas Blvd NW, Albuquerque, NM 87102, USA","2500 Central Ave SW, Albuquerque, NM 87104, USA",37725555,1635773
June,1764252,9539011,2019-06-02 18:16:00,6/2/2019 18:33,0:16:32,"5th @ Marquette, Albuquerque, NM 87102, USA","1898 Mountain Rd NW, Albuquerque, NM 87104, USA",37978907,1634749
June,1764271,8310449,2019-06-02 18:17:00,6/2/2019 18:40,0:23:03,"423 Central Ave NE, Albuquerque, NM 87102, USA","423 Central Ave NE, Albuquerque, NM 87102, USA",37695149,1634906
June,1764277,2747894,2019-06-02 18:17:00,6/2/2019 18:21,0:04:06,"2901 Central Ave NE, Albuquerque, NM 87106, USA","11 Silver Ave SE, Albuquerque, NM 87106, USA",37962873,1634463
June,1764281,5645384,2019-06-02 18:17:00,6/2/2019 18:20,0:02:44,"412 Gold Ave SW, Albuquerque, NM 87102, USA","610 Gold Ave SW, Albuquerque, NM 87102, USA",35609414,1634424
June,1764287,9659930,2019-06-02 18:17:00,6/2/2019 18:40,0:22:34,"423 Central Ave NE, Albuquerque, NM 87102, USA","423 Central Ave NE, Albuquerque, NM 87102, USA",37694903,1634897
June,1764290,7318729,2019-06-02 18:18:00,6/2/2019 19:10,0:52:48,"1216 Lomas Blvd NW, Albuquerque, NM 87102, USA","Central @ New York, Albuquerque, NM 87104, USA",37725790,1635689
June,1764308,6114612,2019-06-02 18:18:00,6/2/2019 19:10,0:51:32,"1216 Lomas Blvd NW, Albuquerque, NM 87102, USA","Central @ New York, Albuquerque, NM 87104, USA",37976741,1635673
June,1764319,9036109,2019-06-02 18:19:00,6/2/2019 18:19,0:00:31,"516 1st St NW, Albuquerque, NM 87102, USA","104 Roma Ave NW, Albuquerque, NM 87102, USA",37979085,1634403
June,1764404,9002327,2019-06-02 18:23:00,6/2/2019 18:35,0:12:09,"2500 Central Ave SW, Albuquerque, NM 87104, USA","3385 Central Ave NW, Albuquerque, NM 87104, USA",35566644,1634796
June,1764424,2619320,2019-06-02 18:24:00,6/2/2019 18:32,0:08:09,"1 Central Ave NW, Albuquerque, NM 87102, USA","321 4th St NW, Albuquerque, NM 87102, USA",36121339,1634735
June,1764549,1691056,2019-06-02 18:30:00,6/2/2019 18:40,0:10:02,"423 Central Ave NE, Albuquerque, NM 87102, USA","423 Central Ave NE, Albuquerque, NM 87102, USA",37981486,1634893
June,1764586,4063762,2019-06-02 18:32:00,6/2/2019 19:10,0:38:40,"1400 Central Ave SE, Albuquerque, NM 87106, USA","1400 Central Ave SE, Albuquerque, NM 87106, USA",36644880,1635682
June,1764628,5305769,2019-06-02 18:33:00,6/2/2019 18:37,0:03:53,"407 Central Ave SW, Albuquerque, NM 87102, USA","613 Central Ave NW, Albuquerque, NM 87102, USA",37964808,1634824
June,1764631,4947439,2019-06-02 18:33:00,6/2/2019 18:51,0:17:20,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","114 Tulane Dr SE, Albuquerque, NM 87106, USA",37967305,1635173
